Mon Oct 12 11:44:37 2020
Joystick Mode (120s)
{'Time': 11541, 'Left_wheel_dist': -1109, 'Right_wheel_dist': -1056, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 4.11, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.35, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11642, 'Left_wheel_dist': -1195, 'Right_wheel_dist': -1146, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 4.10, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11744, 'Left_wheel_dist': -1281, 'Right_wheel_dist': -1233, 'IMU_roll': -0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 4.10, 'IMU_Acc_x': 0.46, 'IMU_Acc_y': -0.32, 'IMU_Acc_z': 9.88, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 11845, 'Left_wheel_dist': -1370, 'Right_wheel_dist': -1317, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 4.09, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.22, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11947, 'Left_wheel_dist': -1458, 'Right_wheel_dist': -1403, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 4.07, 'IMU_Acc_x': 0.58, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 10.06, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12047, 'Left_wheel_dist': -1545, 'Right_wheel_dist': -1487, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 4.07, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 10.19, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12148, 'Left_wheel_dist': -1633, 'Right_wheel_dist': -1580, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 4.06, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.61, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12250, 'Left_wheel_dist': -1720, 'Right_wheel_dist': -1660, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 4.06, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.83, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12350, 'Left_wheel_dist': -1806, 'Right_wheel_dist': -1748, 'IMU_roll': -0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 4.06, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': 0.14, 'IMU_Acc_z': 10.08, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12451, 'Left_wheel_dist': -1892, 'Right_wheel_dist': -1833, 'IMU_roll': -0.00, 'IMU_pitch': 0.06, 'IMU_yaw': 4.05, 'IMU_Acc_x': 0.57, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 10.04, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12553, 'Left_wheel_dist': -1979, 'Right_wheel_dist': -1921, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 4.07, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': 0.17, 'IMU_Acc_z': 9.98, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12641, 'Left_wheel_dist': -2054, 'Right_wheel_dist': -1999, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 4.07, 'IMU_Acc_x': 0.48, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 10.19, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 12742, 'Left_wheel_dist': -2143, 'Right_wheel_dist': -2081, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 4.06, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12844, 'Left_wheel_dist': -2229, 'Right_wheel_dist': -2169, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 4.07, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': 0.30, 'IMU_Acc_z': 9.62, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12946, 'Left_wheel_dist': -2309, 'Right_wheel_dist': -2247, 'IMU_roll': -0.02, 'IMU_pitch': 0.09, 'IMU_yaw': 4.06, 'IMU_Acc_x': 0.97, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.91, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13050, 'Left_wheel_dist': -2384, 'Right_wheel_dist': -2329, 'IMU_roll': 0.02, 'IMU_pitch': 0.10, 'IMU_yaw': 4.06, 'IMU_Acc_x': 0.85, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.98, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13154, 'Left_wheel_dist': -2452, 'Right_wheel_dist': -2399, 'IMU_roll': -0.00, 'IMU_pitch': 0.09, 'IMU_yaw': 4.05, 'IMU_Acc_x': 0.91, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.76, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13243, 'Left_wheel_dist': -2508, 'Right_wheel_dist': -2450, 'IMU_roll': 0.02, 'IMU_pitch': 0.09, 'IMU_yaw': 4.05, 'IMU_Acc_x': 0.98, 'IMU_Acc_y': 0.29, 'IMU_Acc_z': 10.05, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 13347, 'Left_wheel_dist': -2568, 'Right_wheel_dist': -2510, 'IMU_roll': 0.00, 'IMU_pitch': 0.07, 'IMU_yaw': 4.05, 'IMU_Acc_x': 0.75, 'IMU_Acc_y': 0.14, 'IMU_Acc_z': 9.50, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13451, 'Left_wheel_dist': -2625, 'Right_wheel_dist': -2565, 'IMU_roll': 0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 4.05, 'IMU_Acc_x': 0.56, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.86, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13554, 'Left_wheel_dist': -2678, 'Right_wheel_dist': -2621, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 4.06, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.94, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13644, 'Left_wheel_dist': -2729, 'Right_wheel_dist': -2667, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 4.07, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.91, 'Loop_dt': 23, 'Acc_Accu': 5}
