Sun Oct 11 08:33:53 2020
Joystick Mode (120s)
{'Time': 11552, 'Left_wheel_dist': -347, 'Right_wheel_dist': -290, 'IMU_roll': -0.02, 'IMU_pitch': -0.03, 'IMU_yaw': 0.15, 'IMU_Acc_x': -0.60, 'IMU_Acc_y': -0.37, 'IMU_Acc_z': 9.77, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11655, 'Left_wheel_dist': -383, 'Right_wheel_dist': -321, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 0.13, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.83, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 11744, 'Left_wheel_dist': -402, 'Right_wheel_dist': -343, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.62, 'IMU_Acc_y': 0.34, 'IMU_Acc_z': 9.81, 'Loop_dt': 25, 'Acc_Accu': 5}
{'Time': 11847, 'Left_wheel_dist': -402, 'Right_wheel_dist': -354, 'IMU_roll': -0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 0.12, 'IMU_Acc_x': 1.74, 'IMU_Acc_y': 0.38, 'IMU_Acc_z': 9.91, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 11951, 'Left_wheel_dist': -405, 'Right_wheel_dist': -360, 'IMU_roll': -0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.55, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.83, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 12043, 'Left_wheel_dist': -405, 'Right_wheel_dist': -360, 'IMU_roll': -0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.44, 'IMU_Acc_z': 9.85, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12144, 'Left_wheel_dist': -405, 'Right_wheel_dist': -360, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.84, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12244, 'Left_wheel_dist': -405, 'Right_wheel_dist': -360, 'IMU_roll': -0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 0.09, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.86, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12344, 'Left_wheel_dist': -405, 'Right_wheel_dist': -360, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 0.08, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.84, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12444, 'Left_wheel_dist': -405, 'Right_wheel_dist': -360, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 0.08, 'IMU_Acc_x': -0.06, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.84, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12545, 'Left_wheel_dist': -405, 'Right_wheel_dist': -360, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 0.08, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.85, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12644, 'Left_wheel_dist': -405, 'Right_wheel_dist': -360, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 0.07, 'IMU_Acc_x': -0.06, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.85, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12744, 'Left_wheel_dist': -400, 'Right_wheel_dist': -360, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 0.07, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.83, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12846, 'Left_wheel_dist': -396, 'Right_wheel_dist': -360, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': 0.39, 'IMU_Acc_z': 9.86, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 12946, 'Left_wheel_dist': -387, 'Right_wheel_dist': -358, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.20, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.87, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13047, 'Left_wheel_dist': -378, 'Right_wheel_dist': -356, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 0.08, 'IMU_Acc_x': -0.06, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13149, 'Left_wheel_dist': -369, 'Right_wheel_dist': -352, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.14, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.86, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13250, 'Left_wheel_dist': -360, 'Right_wheel_dist': -345, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 0.09, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13351, 'Left_wheel_dist': -349, 'Right_wheel_dist': -338, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.14, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13453, 'Left_wheel_dist': -336, 'Right_wheel_dist': -332, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 0.10, 'IMU_Acc_x': -0.06, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.83, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13554, 'Left_wheel_dist': -325, 'Right_wheel_dist': -325, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 0.10, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.84, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13656, 'Left_wheel_dist': -316, 'Right_wheel_dist': -318, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.84, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13744, 'Left_wheel_dist': -305, 'Right_wheel_dist': -312, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.87, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 13844, 'Left_wheel_dist': -296, 'Right_wheel_dist': -305, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 0.11, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.84, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13945, 'Left_wheel_dist': -285, 'Right_wheel_dist': -296, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.07, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.83, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14047, 'Left_wheel_dist': -274, 'Right_wheel_dist': -290, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 0.13, 'IMU_Acc_x': 0.13, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.84, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14148, 'Left_wheel_dist': -263, 'Right_wheel_dist': -281, 'IMU_roll': -0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 0.13, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.81, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14249, 'Left_wheel_dist': -245, 'Right_wheel_dist': -265, 'IMU_roll': -0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 0.13, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.89, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14350, 'Left_wheel_dist': -228, 'Right_wheel_dist': -252, 'IMU_roll': -0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 0.14, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.81, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14451, 'Left_wheel_dist': -210, 'Right_wheel_dist': -236, 'IMU_roll': -0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 0.15, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.85, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14553, 'Left_wheel_dist': -194, 'Right_wheel_dist': -221, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 0.15, 'IMU_Acc_x': -0.11, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.84, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14653, 'Left_wheel_dist': -179, 'Right_wheel_dist': -205, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 0.16, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.83, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14754, 'Left_wheel_dist': -163, 'Right_wheel_dist': -190, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 0.17, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14856, 'Left_wheel_dist': -146, 'Right_wheel_dist': -174, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 0.18, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.82, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14957, 'Left_wheel_dist': -128, 'Right_wheel_dist': -159, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 0.19, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.89, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15046, 'Left_wheel_dist': -115, 'Right_wheel_dist': -148, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 0.19, 'IMU_Acc_x': -0.09, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.84, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 15148, 'Left_wheel_dist': -99, 'Right_wheel_dist': -135, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 0.20, 'IMU_Acc_x': 0.09, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.90, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 15248, 'Left_wheel_dist': -84, 'Right_wheel_dist': -119, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 0.21, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.81, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15349, 'Left_wheel_dist': -66, 'Right_wheel_dist': -104, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 0.22, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.85, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15451, 'Left_wheel_dist': -50, 'Right_wheel_dist': -88, 'IMU_roll': 0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 0.23, 'IMU_Acc_x': -0.18, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.80, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 15551, 'Left_wheel_dist': -35, 'Right_wheel_dist': -75, 'IMU_roll': 0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 0.24, 'IMU_Acc_x': -0.08, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15652, 'Left_wheel_dist': -19, 'Right_wheel_dist': -61, 'IMU_roll': 0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 0.25, 'IMU_Acc_x': -0.10, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.84, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15754, 'Left_wheel_dist': -8, 'Right_wheel_dist': -48, 'IMU_roll': 0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 0.25, 'IMU_Acc_x': -0.17, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.82, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 15855, 'Left_wheel_dist': 0, 'Right_wheel_dist': -37, 'IMU_roll': -0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 0.26, 'IMU_Acc_x': -0.32, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.84, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15950, 'Left_wheel_dist': 4, 'Right_wheel_dist': -33, 'IMU_roll': -0.00, 'IMU_pitch': -0.02, 'IMU_yaw': 0.27, 'IMU_Acc_x': -0.44, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.83, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 16054, 'Left_wheel_dist': 4, 'Right_wheel_dist': -30, 'IMU_roll': -0.00, 'IMU_pitch': -0.02, 'IMU_yaw': 0.28, 'IMU_Acc_x': -0.35, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.81, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 16144, 'Left_wheel_dist': 4, 'Right_wheel_dist': -33, 'IMU_roll': -0.00, 'IMU_pitch': -0.02, 'IMU_yaw': 0.28, 'IMU_Acc_x': -0.11, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.83, 'Loop_dt': 21, 'Acc_Accu': 6}
