Fri Aug 14 13:32:34 2020
Joystick Mode (120s)
{'Time': 11553, 'Left_wheel_dist': -59, 'Right_wheel_dist': -22, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 5.64, 'IMU_Acc_x': 0.46, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11657, 'Left_wheel_dist': -48, 'Right_wheel_dist': -30, 'IMU_roll': 0.05, 'IMU_pitch': 0.01, 'IMU_yaw': 5.64, 'IMU_Acc_x': 0.19, 'IMU_Acc_y': 0.70, 'IMU_Acc_z': 9.79, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 11747, 'Left_wheel_dist': -30, 'Right_wheel_dist': -50, 'IMU_roll': 0.13, 'IMU_pitch': 0.00, 'IMU_yaw': 5.67, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 2.29, 'IMU_Acc_z': 9.77, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 11850, 'Left_wheel_dist': -11, 'Right_wheel_dist': -68, 'IMU_roll': 0.05, 'IMU_pitch': 0.00, 'IMU_yaw': 5.72, 'IMU_Acc_x': 0.14, 'IMU_Acc_y': 0.40, 'IMU_Acc_z': 9.71, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11953, 'Left_wheel_dist': -2, 'Right_wheel_dist': -81, 'IMU_roll': -0.04, 'IMU_pitch': -0.00, 'IMU_yaw': 5.77, 'IMU_Acc_x': -0.10, 'IMU_Acc_y': -0.86, 'IMU_Acc_z': 9.91, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12053, 'Left_wheel_dist': -8, 'Right_wheel_dist': -92, 'IMU_roll': -0.12, 'IMU_pitch': -0.02, 'IMU_yaw': 5.80, 'IMU_Acc_x': -0.65, 'IMU_Acc_y': -2.07, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12154, 'Left_wheel_dist': -30, 'Right_wheel_dist': -104, 'IMU_roll': -0.06, 'IMU_pitch': -0.02, 'IMU_yaw': 5.80, 'IMU_Acc_x': -0.38, 'IMU_Acc_y': -1.05, 'IMU_Acc_z': 9.80, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12256, 'Left_wheel_dist': -55, 'Right_wheel_dist': -126, 'IMU_roll': 0.03, 'IMU_pitch': -0.06, 'IMU_yaw': 5.79, 'IMU_Acc_x': -1.02, 'IMU_Acc_y': 0.79, 'IMU_Acc_z': 9.60, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12345, 'Left_wheel_dist': -79, 'Right_wheel_dist': -148, 'IMU_roll': 0.02, 'IMU_pitch': -0.03, 'IMU_yaw': 5.78, 'IMU_Acc_x': -0.21, 'IMU_Acc_y': 0.31, 'IMU_Acc_z': 9.81, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 12449, 'Left_wheel_dist': -104, 'Right_wheel_dist': -170, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 5.76, 'IMU_Acc_x': 0.46, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.82, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12553, 'Left_wheel_dist': -126, 'Right_wheel_dist': -197, 'IMU_roll': 0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 5.75, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': 0.54, 'IMU_Acc_z': 9.79, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12656, 'Left_wheel_dist': -143, 'Right_wheel_dist': -221, 'IMU_roll': 0.04, 'IMU_pitch': -0.02, 'IMU_yaw': 5.73, 'IMU_Acc_x': -0.10, 'IMU_Acc_y': 0.65, 'IMU_Acc_z': 9.79, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12746, 'Left_wheel_dist': -159, 'Right_wheel_dist': -250, 'IMU_roll': 0.04, 'IMU_pitch': -0.04, 'IMU_yaw': 5.74, 'IMU_Acc_x': -0.38, 'IMU_Acc_y': 0.68, 'IMU_Acc_z': 9.70, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 12851, 'Left_wheel_dist': -181, 'Right_wheel_dist': -287, 'IMU_roll': 0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 5.75, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': 0.24, 'IMU_Acc_z': 9.83, 'Loop_dt': 25, 'Acc_Accu': 6}
