Wed Feb 10 13:34:47 2021
Program 9: 1s Stillstand, Rampe von 0-1 m/s innerhalb 2s, Stillstand
{'Time': 11556, 'Left_wheel_dist': -210, 'Right_wheel_dist': -185, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 5.81, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.82, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11648, 'Left_wheel_dist': -256, 'Right_wheel_dist': -228, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 5.81, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.85, 'Loop_dt': 20, 'Acc_Accu': 7}
{'Time': 11748, 'Left_wheel_dist': -309, 'Right_wheel_dist': -276, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 5.79, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 10.12, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11848, 'Left_wheel_dist': -363, 'Right_wheel_dist': -336, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 5.79, 'IMU_Acc_x': 0.10, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.79, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11949, 'Left_wheel_dist': -425, 'Right_wheel_dist': -398, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 5.78, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.68, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12048, 'Left_wheel_dist': -493, 'Right_wheel_dist': -458, 'IMU_roll': -0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 5.77, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 10.45, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12149, 'Left_wheel_dist': -562, 'Right_wheel_dist': -537, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 5.77, 'IMU_Acc_x': 0.91, 'IMU_Acc_y': 0.22, 'IMU_Acc_z': 11.34, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12249, 'Left_wheel_dist': -630, 'Right_wheel_dist': -606, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.71, 'IMU_Acc_x': -1.02, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 6.01, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12350, 'Left_wheel_dist': -710, 'Right_wheel_dist': -681, 'IMU_roll': -0.04, 'IMU_pitch': -0.02, 'IMU_yaw': 5.65, 'IMU_Acc_x': 0.79, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 10.22, 'Loop_dt': 21, 'Acc_Accu': 8}
{'Time': 12450, 'Left_wheel_dist': -792, 'Right_wheel_dist': -766, 'IMU_roll': -0.06, 'IMU_pitch': -0.04, 'IMU_yaw': 5.57, 'IMU_Acc_x': -0.45, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 8.17, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12551, 'Left_wheel_dist': -881, 'Right_wheel_dist': -850, 'IMU_roll': -0.04, 'IMU_pitch': -0.02, 'IMU_yaw': 5.56, 'IMU_Acc_x': 0.68, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 10.48, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12648, 'Left_wheel_dist': -969, 'Right_wheel_dist': -945, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.59, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': 0.42, 'IMU_Acc_z': 9.70, 'Loop_dt': 18, 'Acc_Accu': 8}
{'Time': 12747, 'Left_wheel_dist': -1002, 'Right_wheel_dist': -985, 'IMU_roll': -0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 5.60, 'IMU_Acc_x': 3.58, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 11.97, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 12853, 'Left_wheel_dist': -1016, 'Right_wheel_dist': -1002, 'IMU_roll': -0.02, 'IMU_pitch': 0.13, 'IMU_yaw': 5.58, 'IMU_Acc_x': 3.36, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 10.57, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 12952, 'Left_wheel_dist': -1029, 'Right_wheel_dist': -1016, 'IMU_roll': -0.02, 'IMU_pitch': 0.19, 'IMU_yaw': 5.57, 'IMU_Acc_x': 3.07, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.47, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13050, 'Left_wheel_dist': -1033, 'Right_wheel_dist': -1025, 'IMU_roll': 0.01, 'IMU_pitch': 0.18, 'IMU_yaw': 5.59, 'IMU_Acc_x': 1.55, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.75, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13149, 'Left_wheel_dist': -1036, 'Right_wheel_dist': -1027, 'IMU_roll': 0.01, 'IMU_pitch': 0.15, 'IMU_yaw': 5.61, 'IMU_Acc_x': 1.03, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.87, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 13247, 'Left_wheel_dist': -1036, 'Right_wheel_dist': -1027, 'IMU_roll': 0.02, 'IMU_pitch': 0.13, 'IMU_yaw': 5.62, 'IMU_Acc_x': 0.67, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13352, 'Left_wheel_dist': -1036, 'Right_wheel_dist': -1027, 'IMU_roll': 0.01, 'IMU_pitch': 0.10, 'IMU_yaw': 5.62, 'IMU_Acc_x': 0.57, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 13449, 'Left_wheel_dist': -1036, 'Right_wheel_dist': -1027, 'IMU_roll': 0.02, 'IMU_pitch': 0.09, 'IMU_yaw': 5.64, 'IMU_Acc_x': 0.57, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.87, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 13552, 'Left_wheel_dist': -1036, 'Right_wheel_dist': -1027, 'IMU_roll': 0.04, 'IMU_pitch': 0.09, 'IMU_yaw': 5.66, 'IMU_Acc_x': 0.58, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
