Wed Feb 10 13:42:49 2021
Program 14: 2s geradeaus bei 0.5m/s, 1s Drehung nach links bei 0/1 m/s, 4 Wiederholungen
{'Time': 11554, 'Left_wheel_dist': 2, 'Right_wheel_dist': -6, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 11655, 'Left_wheel_dist': -24, 'Right_wheel_dist': -33, 'IMU_roll': 0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 0.10, 'IMU_Acc_x': -3.11, 'IMU_Acc_y': -0.54, 'IMU_Acc_z': 9.79, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11754, 'Left_wheel_dist': -79, 'Right_wheel_dist': -79, 'IMU_roll': 0.01, 'IMU_pitch': -0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': -0.97, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 10.34, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11855, 'Left_wheel_dist': -132, 'Right_wheel_dist': -126, 'IMU_roll': 0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 0.05, 'IMU_Acc_x': 0.71, 'IMU_Acc_y': 0.35, 'IMU_Acc_z': 10.26, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11956, 'Left_wheel_dist': -188, 'Right_wheel_dist': -172, 'IMU_roll': 0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 0.04, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.66, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12057, 'Left_wheel_dist': -243, 'Right_wheel_dist': -223, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 0.04, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.42, 'IMU_Acc_z': 9.82, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12156, 'Left_wheel_dist': -298, 'Right_wheel_dist': -274, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.03, 'IMU_Acc_x': 0.70, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.83, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12255, 'Left_wheel_dist': -349, 'Right_wheel_dist': -318, 'IMU_roll': 0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 0.02, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': 0.28, 'IMU_Acc_z': 10.04, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12355, 'Left_wheel_dist': -400, 'Right_wheel_dist': -365, 'IMU_roll': 0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 0.02, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.17, 'IMU_Acc_z': 9.35, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12455, 'Left_wheel_dist': -453, 'Right_wheel_dist': -420, 'IMU_roll': 0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 6.27, 'IMU_Acc_x': 0.60, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.62, 'Loop_dt': 19, 'Acc_Accu': 8}
