Mon Aug 10 15:36:17 2020
Joystick Mode (60s
{'Time': 11538, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.05, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 11640, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.78, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 11736, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.79, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 11838, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 11941, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 12036, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 12139, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 12241, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.78, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 12337, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 12439, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.78, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 12542, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 12637, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.79, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 12740, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.78, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 12843, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.79, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 12937, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13039, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 13143, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 13236, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.78, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13339, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.78, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 13442, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 5.07, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.79, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 13545, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 13639, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.78, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13743, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 13845, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 13940, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 14043, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 14137, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 14239, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 14343, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.05, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 14445, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 5.05, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 14540, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.05, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.80, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 14643, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.79, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 14746, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.78, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 14840, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 14943, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.05, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 15045, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.78, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 15140, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.05, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 15242, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 15345, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.05, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 15439, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 15542, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.05, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 15644, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.78, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 15739, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 15841, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 15944, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 16047, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 16141, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.78, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 16243, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.80, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 16346, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.79, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 16440, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 16542, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 16646, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.05, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 16740, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.05, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 16843, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.05, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.80, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 16947, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.05, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 17042, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.05, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.79, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 17145, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.05, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.77, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 17247, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 5.05, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.78, 'Loop_dt': 18, 'Acc_Accu': 10}
