Wed Feb 10 13:37:22 2021
Program 11: 1s Stillstand, 3.5s Kreisfahrt, Stillstand
{'Time': 11549, 'Left_wheel_dist': 338, 'Right_wheel_dist': 161, 'IMU_roll': -0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 2.33, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.90, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11649, 'Left_wheel_dist': 389, 'Right_wheel_dist': 188, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 2.39, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.92, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11748, 'Left_wheel_dist': 442, 'Right_wheel_dist': 212, 'IMU_roll': -0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 2.42, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 10.06, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11848, 'Left_wheel_dist': 491, 'Right_wheel_dist': 236, 'IMU_roll': -0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 2.46, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': -0.25, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11949, 'Left_wheel_dist': 546, 'Right_wheel_dist': 263, 'IMU_roll': -0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 2.51, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': -0.34, 'IMU_Acc_z': 9.87, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12048, 'Left_wheel_dist': 597, 'Right_wheel_dist': 290, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 2.59, 'IMU_Acc_x': 0.09, 'IMU_Acc_y': -0.39, 'IMU_Acc_z': 9.87, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12149, 'Left_wheel_dist': 646, 'Right_wheel_dist': 312, 'IMU_roll': -0.01, 'IMU_pitch': 0.07, 'IMU_yaw': 2.66, 'IMU_Acc_x': 0.61, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 10.00, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12249, 'Left_wheel_dist': 697, 'Right_wheel_dist': 334, 'IMU_roll': -0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 2.71, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.86, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12348, 'Left_wheel_dist': 748, 'Right_wheel_dist': 358, 'IMU_roll': -0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 2.76, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': -0.61, 'IMU_Acc_z': 9.87, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12449, 'Left_wheel_dist': 797, 'Right_wheel_dist': 385, 'IMU_roll': -0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 2.77, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.97, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12550, 'Left_wheel_dist': 850, 'Right_wheel_dist': 409, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 2.81, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.27, 'IMU_Acc_z': 9.90, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12650, 'Left_wheel_dist': 898, 'Right_wheel_dist': 433, 'IMU_roll': -0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 2.89, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 9.85, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12749, 'Left_wheel_dist': 951, 'Right_wheel_dist': 460, 'IMU_roll': -0.02, 'IMU_pitch': 0.06, 'IMU_yaw': 2.92, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 10.13, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12850, 'Left_wheel_dist': 1002, 'Right_wheel_dist': 489, 'IMU_roll': -0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 2.98, 'IMU_Acc_x': 0.65, 'IMU_Acc_y': -0.24, 'IMU_Acc_z': 10.22, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12950, 'Left_wheel_dist': 1056, 'Right_wheel_dist': 513, 'IMU_roll': -0.05, 'IMU_pitch': 0.03, 'IMU_yaw': 3.06, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.35, 'IMU_Acc_z': 9.93, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13050, 'Left_wheel_dist': 1104, 'Right_wheel_dist': 540, 'IMU_roll': -0.05, 'IMU_pitch': 0.03, 'IMU_yaw': 3.14, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': -0.33, 'IMU_Acc_z': 9.95, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 13151, 'Left_wheel_dist': 1155, 'Right_wheel_dist': 560, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 3.19, 'IMU_Acc_x': 0.66, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.48, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 13250, 'Left_wheel_dist': 1202, 'Right_wheel_dist': 584, 'IMU_roll': -0.06, 'IMU_pitch': 0.09, 'IMU_yaw': 3.29, 'IMU_Acc_x': 0.65, 'IMU_Acc_y': -0.45, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 8}
