Wed Feb 10 13:38:48 2021
Program 12: 1s Stillstand, 3.5s Kreisfahrt andersrum, Stillstand
{'Time': 9650, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.57, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 1139}
{'Time': 9747, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.57, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 9850, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.57, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 9947, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.56, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10050, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.57, 'IMU_Acc_x': 0.55, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10146, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.56, 'IMU_Acc_x': 0.55, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10250, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.56, 'IMU_Acc_x': 0.55, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10345, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.56, 'IMU_Acc_x': 0.55, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10449, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.56, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10546, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.55, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10651, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.55, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 10749, 'Left_wheel_dist': 0, 'Right_wheel_dist': 6, 'IMU_roll': 0.02, 'IMU_pitch': 0.06, 'IMU_yaw': 0.55, 'IMU_Acc_x': 0.99, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.81, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10848, 'Left_wheel_dist': 8, 'Right_wheel_dist': 24, 'IMU_roll': 0.02, 'IMU_pitch': 0.08, 'IMU_yaw': 0.53, 'IMU_Acc_x': 1.26, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.81, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10956, 'Left_wheel_dist': 24, 'Right_wheel_dist': 48, 'IMU_roll': 0.01, 'IMU_pitch': 0.10, 'IMU_yaw': 0.51, 'IMU_Acc_x': 1.60, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.90, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 11056, 'Left_wheel_dist': 48, 'Right_wheel_dist': 84, 'IMU_roll': -0.00, 'IMU_pitch': 0.11, 'IMU_yaw': 0.49, 'IMU_Acc_x': 1.52, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 9.71, 'Loop_dt': 21, 'Acc_Accu': 8}
{'Time': 11155, 'Left_wheel_dist': 73, 'Right_wheel_dist': 128, 'IMU_roll': 0.00, 'IMU_pitch': 0.11, 'IMU_yaw': 0.46, 'IMU_Acc_x': 1.33, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.93, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11255, 'Left_wheel_dist': 101, 'Right_wheel_dist': 179, 'IMU_roll': 0.01, 'IMU_pitch': 0.10, 'IMU_yaw': 0.43, 'IMU_Acc_x': 0.76, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.79, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11356, 'Left_wheel_dist': 128, 'Right_wheel_dist': 236, 'IMU_roll': 0.02, 'IMU_pitch': 0.09, 'IMU_yaw': 0.40, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': 0.42, 'IMU_Acc_z': 9.73, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11456, 'Left_wheel_dist': 159, 'Right_wheel_dist': 290, 'IMU_roll': 0.02, 'IMU_pitch': 0.09, 'IMU_yaw': 0.37, 'IMU_Acc_x': 0.70, 'IMU_Acc_y': 0.33, 'IMU_Acc_z': 10.09, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11556, 'Left_wheel_dist': 185, 'Right_wheel_dist': 338, 'IMU_roll': 0.02, 'IMU_pitch': 0.08, 'IMU_yaw': 0.33, 'IMU_Acc_x': 0.57, 'IMU_Acc_y': 0.28, 'IMU_Acc_z': 9.91, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11656, 'Left_wheel_dist': 214, 'Right_wheel_dist': 387, 'IMU_roll': 0.03, 'IMU_pitch': 0.08, 'IMU_yaw': 0.30, 'IMU_Acc_x': 0.71, 'IMU_Acc_y': 0.41, 'IMU_Acc_z': 9.98, 'Loop_dt': 20, 'Acc_Accu': 8}
