Wed Feb 10 13:32:25 2021
Program 6: 2s Stillstand, 3s geradeaus bei 0.5m/s
{'Time': 9646, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 3.44, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.86, 'Loop_dt': 20, 'Acc_Accu': 1145}
{'Time': 9750, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.45, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 9846, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 3.45, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 9950, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 3.43, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.87, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 10046, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 3.43, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10150, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.43, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10247, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 3.41, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.86, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 10350, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 3.43, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10446, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 3.45, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 10549, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.43, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 10645, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 3.43, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.86, 'Loop_dt': 18, 'Acc_Accu': 9}
