Sun Oct 11 08:36:44 2020
Joystick Mode (120s)
{'Time': 11547, 'Left_wheel_dist': -265, 'Right_wheel_dist': -170, 'IMU_roll': -0.00, 'IMU_pitch': -0.03, 'IMU_yaw': 0.02, 'IMU_Acc_x': -0.61, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.83, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 11650, 'Left_wheel_dist': -287, 'Right_wheel_dist': -192, 'IMU_roll': -0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 0.02, 'IMU_Acc_x': -0.06, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.83, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 11739, 'Left_wheel_dist': -303, 'Right_wheel_dist': -210, 'IMU_roll': -0.02, 'IMU_pitch': -0.00, 'IMU_yaw': 0.01, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.87, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 11847, 'Left_wheel_dist': -312, 'Right_wheel_dist': -225, 'IMU_roll': -0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 0.01, 'IMU_Acc_x': 0.80, 'IMU_Acc_y': 0.30, 'IMU_Acc_z': 9.80, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 11939, 'Left_wheel_dist': -312, 'Right_wheel_dist': -230, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.01, 'IMU_Acc_x': 0.85, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.84, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 12043, 'Left_wheel_dist': -312, 'Right_wheel_dist': -230, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.01, 'IMU_Acc_x': 0.09, 'IMU_Acc_y': -0.33, 'IMU_Acc_z': 9.85, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 12145, 'Left_wheel_dist': -312, 'Right_wheel_dist': -228, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 6.28, 'IMU_Acc_x': -0.28, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.83, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 12236, 'Left_wheel_dist': -312, 'Right_wheel_dist': -228, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 6.28, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.84, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 12339, 'Left_wheel_dist': -312, 'Right_wheel_dist': -228, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 6.27, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.84, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 12442, 'Left_wheel_dist': -312, 'Right_wheel_dist': -228, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 6.27, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.84, 'Loop_dt': 21, 'Acc_Accu': 7}
