Wed Feb 10 13:40:13 2021
Program 13: 2s geradeaus bei 0.5m/s, 1s Drehung nach rechts bei 0/1 m/s, 4 Wiederholungen
{'Time': 11547, 'Left_wheel_dist': 0, 'Right_wheel_dist': -2, 'IMU_roll': 0.05, 'IMU_pitch': 0.06, 'IMU_yaw': 6.06, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 11656, 'Left_wheel_dist': -28, 'Right_wheel_dist': -24, 'IMU_roll': 0.04, 'IMU_pitch': -0.00, 'IMU_yaw': 6.06, 'IMU_Acc_x': -2.87, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.86, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 11747, 'Left_wheel_dist': -70, 'Right_wheel_dist': -64, 'IMU_roll': 0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 6.04, 'IMU_Acc_x': -0.44, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.59, 'Loop_dt': 19, 'Acc_Accu': 7}
{'Time': 11848, 'Left_wheel_dist': -117, 'Right_wheel_dist': -110, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 5.99, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.93, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11949, 'Left_wheel_dist': -166, 'Right_wheel_dist': -161, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 5.97, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 9.78, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12047, 'Left_wheel_dist': -210, 'Right_wheel_dist': -212, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 5.97, 'IMU_Acc_x': 0.77, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.81, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12156, 'Left_wheel_dist': -261, 'Right_wheel_dist': -263, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 5.95, 'IMU_Acc_x': 0.62, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.90, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 12255, 'Left_wheel_dist': -305, 'Right_wheel_dist': -307, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 5.94, 'IMU_Acc_x': 0.61, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.68, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12354, 'Left_wheel_dist': -354, 'Right_wheel_dist': -358, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 5.93, 'IMU_Acc_x': 0.59, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.80, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12454, 'Left_wheel_dist': -400, 'Right_wheel_dist': -409, 'IMU_roll': -0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 5.90, 'IMU_Acc_x': 0.94, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.92, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12554, 'Left_wheel_dist': -449, 'Right_wheel_dist': -453, 'IMU_roll': -0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 5.89, 'IMU_Acc_x': 0.46, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.75, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12654, 'Left_wheel_dist': -495, 'Right_wheel_dist': -500, 'IMU_roll': -0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 5.87, 'IMU_Acc_x': 0.96, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 10.04, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12754, 'Left_wheel_dist': -546, 'Right_wheel_dist': -553, 'IMU_roll': 0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 5.88, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': 0.26, 'IMU_Acc_z': 9.83, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12854, 'Left_wheel_dist': -591, 'Right_wheel_dist': -606, 'IMU_roll': -0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 5.87, 'IMU_Acc_x': 0.71, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.94, 'Loop_dt': 19, 'Acc_Accu': 8}
