Wed Feb 10 13:38:26 2021
Program 12: 1s Stillstand, 3.5s Kreisfahrt andersrum, Stillstand
{'Time': 11557, 'Left_wheel_dist': 201, 'Right_wheel_dist': 347, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 1.21, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 10.11, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11657, 'Left_wheel_dist': 230, 'Right_wheel_dist': 396, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 1.16, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.17, 'IMU_Acc_z': 9.77, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11757, 'Left_wheel_dist': 256, 'Right_wheel_dist': 453, 'IMU_roll': 0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 1.13, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.47, 'IMU_Acc_z': 9.75, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11857, 'Left_wheel_dist': 287, 'Right_wheel_dist': 502, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 1.10, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': 0.35, 'IMU_Acc_z': 9.65, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11957, 'Left_wheel_dist': 316, 'Right_wheel_dist': 551, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 1.06, 'IMU_Acc_x': 0.47, 'IMU_Acc_y': 0.45, 'IMU_Acc_z': 10.44, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12057, 'Left_wheel_dist': 343, 'Right_wheel_dist': 604, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 1.02, 'IMU_Acc_x': 0.55, 'IMU_Acc_y': 0.38, 'IMU_Acc_z': 10.11, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12157, 'Left_wheel_dist': 371, 'Right_wheel_dist': 661, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.99, 'IMU_Acc_x': 0.58, 'IMU_Acc_y': 0.33, 'IMU_Acc_z': 9.77, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12256, 'Left_wheel_dist': 400, 'Right_wheel_dist': 710, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.96, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 9.84, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12355, 'Left_wheel_dist': 425, 'Right_wheel_dist': 759, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.93, 'IMU_Acc_x': 0.53, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.61, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12454, 'Left_wheel_dist': 451, 'Right_wheel_dist': 812, 'IMU_roll': 0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 0.89, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.83, 'Loop_dt': 19, 'Acc_Accu': 8}
