Mon Aug 10 16:13:58 2020
Joystick Mode (60s)
{'Time': 9644, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.06, 'IMU_yaw': 1.91, 'IMU_Acc_x': -0.52, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.77, 'Loop_dt': 22, 'Acc_Accu': 1133}
{'Time': 9745, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.06, 'IMU_yaw': 1.92, 'IMU_Acc_x': -0.52, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.77, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 9836, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 1.91, 'IMU_Acc_x': -0.52, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.77, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 9938, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 1.91, 'IMU_Acc_x': -0.53, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.76, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10040, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 1.91, 'IMU_Acc_x': -0.52, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.77, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10142, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.06, 'IMU_yaw': 1.92, 'IMU_Acc_x': -0.53, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.77, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10245, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 1.92, 'IMU_Acc_x': -0.52, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.77, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10336, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 1.92, 'IMU_Acc_x': -0.52, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.77, 'Loop_dt': 22, 'Acc_Accu': 6}
{'Time': 10438, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 1.93, 'IMU_Acc_x': -0.52, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.77, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10541, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 1.93, 'IMU_Acc_x': -0.51, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.77, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10642, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.05, 'IMU_yaw': 1.94, 'IMU_Acc_x': -0.52, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 7}
