Sun Oct 11 08:59:52 2020
Joystick Mode (120s)
{'Time': 9640, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 3.40, 'IMU_Acc_x': 0.14, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.88, 'Loop_dt': 21, 'Acc_Accu': 1138}
{'Time': 9745, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 3.43, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.89, 'Loop_dt': 23, 'Acc_Accu': 7}
{'Time': 9844, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 3.41, 'IMU_Acc_x': 0.11, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.87, 'Loop_dt': 22, 'Acc_Accu': 6}
{'Time': 9946, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 3.44, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.89, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10045, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 3.45, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.89, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10144, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 3.40, 'IMU_Acc_x': 0.11, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.88, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10244, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 3.43, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.88, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10343, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 3.42, 'IMU_Acc_x': 0.11, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.88, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10443, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 3.42, 'IMU_Acc_x': 0.10, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.88, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10544, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 3.42, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.88, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10643, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 3.43, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.88, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10743, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 3.44, 'IMU_Acc_x': 0.11, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.89, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 10844, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 3.41, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.89, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10943, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 3.45, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.89, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11043, 'Left_wheel_dist': -4, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 3.41, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 9.89, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11145, 'Left_wheel_dist': -6, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 3.42, 'IMU_Acc_x': 0.20, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.89, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 11245, 'Left_wheel_dist': -11, 'Right_wheel_dist': -2, 'IMU_roll': -0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 3.39, 'IMU_Acc_x': -0.21, 'IMU_Acc_y': -0.26, 'IMU_Acc_z': 9.87, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11346, 'Left_wheel_dist': -15, 'Right_wheel_dist': -4, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 3.44, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': 0.24, 'IMU_Acc_z': 9.90, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11448, 'Left_wheel_dist': -22, 'Right_wheel_dist': -6, 'IMU_roll': -0.05, 'IMU_pitch': -0.02, 'IMU_yaw': 3.43, 'IMU_Acc_x': -0.06, 'IMU_Acc_y': -0.43, 'IMU_Acc_z': 9.91, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11551, 'Left_wheel_dist': -30, 'Right_wheel_dist': -11, 'IMU_roll': -0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 3.35, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.25, 'IMU_Acc_z': 9.87, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11641, 'Left_wheel_dist': -33, 'Right_wheel_dist': -11, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 3.42, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.30, 'IMU_Acc_z': 9.89, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 11745, 'Left_wheel_dist': -39, 'Right_wheel_dist': -11, 'IMU_roll': -0.04, 'IMU_pitch': -0.03, 'IMU_yaw': 3.45, 'IMU_Acc_x': -0.12, 'IMU_Acc_y': -0.36, 'IMU_Acc_z': 9.90, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 11848, 'Left_wheel_dist': -48, 'Right_wheel_dist': -15, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 3.35, 'IMU_Acc_x': -0.17, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.85, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11952, 'Left_wheel_dist': -59, 'Right_wheel_dist': -22, 'IMU_roll': -0.01, 'IMU_pitch': -0.03, 'IMU_yaw': 3.38, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.92, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12042, 'Left_wheel_dist': -70, 'Right_wheel_dist': -26, 'IMU_roll': -0.03, 'IMU_pitch': -0.01, 'IMU_yaw': 3.40, 'IMU_Acc_x': -0.41, 'IMU_Acc_y': -0.40, 'IMU_Acc_z': 9.83, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 12145, 'Left_wheel_dist': -84, 'Right_wheel_dist': -37, 'IMU_roll': 0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 3.37, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': 0.30, 'IMU_Acc_z': 9.89, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12249, 'Left_wheel_dist': -95, 'Right_wheel_dist': -46, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 3.45, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.87, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12351, 'Left_wheel_dist': -106, 'Right_wheel_dist': -53, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 3.43, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': 0.14, 'IMU_Acc_z': 9.91, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12441, 'Left_wheel_dist': -115, 'Right_wheel_dist': -61, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 3.44, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.90, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 12545, 'Left_wheel_dist': -126, 'Right_wheel_dist': -73, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 3.38, 'IMU_Acc_x': -0.45, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.80, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12647, 'Left_wheel_dist': -139, 'Right_wheel_dist': -84, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 3.39, 'IMU_Acc_x': 0.20, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.91, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12750, 'Left_wheel_dist': -148, 'Right_wheel_dist': -92, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.41, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.91, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12840, 'Left_wheel_dist': -157, 'Right_wheel_dist': -101, 'IMU_roll': -0.04, 'IMU_pitch': -0.00, 'IMU_yaw': 3.41, 'IMU_Acc_x': 0.20, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.89, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 12943, 'Left_wheel_dist': -166, 'Right_wheel_dist': -110, 'IMU_roll': -0.00, 'IMU_pitch': -0.03, 'IMU_yaw': 3.35, 'IMU_Acc_x': -0.28, 'IMU_Acc_y': -0.26, 'IMU_Acc_z': 9.83, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13047, 'Left_wheel_dist': -177, 'Right_wheel_dist': -123, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 3.40, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.92, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13151, 'Left_wheel_dist': -188, 'Right_wheel_dist': -137, 'IMU_roll': 0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 3.40, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.90, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13240, 'Left_wheel_dist': -199, 'Right_wheel_dist': -148, 'IMU_roll': -0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 3.40, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.90, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 13343, 'Left_wheel_dist': -212, 'Right_wheel_dist': -161, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 3.38, 'IMU_Acc_x': 0.04, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.85, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13447, 'Left_wheel_dist': -225, 'Right_wheel_dist': -174, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 3.42, 'IMU_Acc_x': 0.20, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.89, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13550, 'Left_wheel_dist': -236, 'Right_wheel_dist': -188, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 3.38, 'IMU_Acc_x': 0.07, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.85, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13654, 'Left_wheel_dist': -247, 'Right_wheel_dist': -201, 'IMU_roll': -0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 3.40, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.92, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13744, 'Left_wheel_dist': -256, 'Right_wheel_dist': -212, 'IMU_roll': 0.00, 'IMU_pitch': -0.02, 'IMU_yaw': 3.37, 'IMU_Acc_x': -0.23, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.81, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 13848, 'Left_wheel_dist': -267, 'Right_wheel_dist': -228, 'IMU_roll': -0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 3.40, 'IMU_Acc_x': -0.10, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.87, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13952, 'Left_wheel_dist': -278, 'Right_wheel_dist': -243, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 3.40, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.93, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14042, 'Left_wheel_dist': -287, 'Right_wheel_dist': -254, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 3.44, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.93, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 14144, 'Left_wheel_dist': -298, 'Right_wheel_dist': -267, 'IMU_roll': -0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 3.38, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.85, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14248, 'Left_wheel_dist': -312, 'Right_wheel_dist': -281, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 3.37, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.89, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14351, 'Left_wheel_dist': -323, 'Right_wheel_dist': -292, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 3.40, 'IMU_Acc_x': 0.11, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.93, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14454, 'Left_wheel_dist': -334, 'Right_wheel_dist': -305, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 3.38, 'IMU_Acc_x': 0.08, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.86, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14544, 'Left_wheel_dist': -345, 'Right_wheel_dist': -314, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 3.40, 'IMU_Acc_x': 0.11, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.92, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 14648, 'Left_wheel_dist': -354, 'Right_wheel_dist': -327, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 3.42, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.88, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14752, 'Left_wheel_dist': -365, 'Right_wheel_dist': -338, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 3.42, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.91, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14842, 'Left_wheel_dist': -374, 'Right_wheel_dist': -349, 'IMU_roll': -0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 3.39, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.81, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 14947, 'Left_wheel_dist': -385, 'Right_wheel_dist': -360, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 3.38, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.89, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 15050, 'Left_wheel_dist': -396, 'Right_wheel_dist': -371, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 3.43, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.93, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15154, 'Left_wheel_dist': -407, 'Right_wheel_dist': -383, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 3.45, 'IMU_Acc_x': 0.11, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.88, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 15244, 'Left_wheel_dist': -416, 'Right_wheel_dist': -391, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 3.40, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.91, 'Loop_dt': 24, 'Acc_Accu': 5}
