Wed Feb 10 13:42:14 2021
Program 14: 2s geradeaus bei 0.5m/s, 1s Drehung nach links bei 0/1 m/s, 4 Wiederholungen
{'Time': 11553, 'Left_wheel_dist': -6, 'Right_wheel_dist': -8, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 0.29, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 11654, 'Left_wheel_dist': -30, 'Right_wheel_dist': -33, 'IMU_roll': 0.03, 'IMU_pitch': -0.02, 'IMU_yaw': 0.29, 'IMU_Acc_x': -2.87, 'IMU_Acc_y': -0.26, 'IMU_Acc_z': 9.93, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11753, 'Left_wheel_dist': -81, 'Right_wheel_dist': -79, 'IMU_roll': 0.03, 'IMU_pitch': -0.04, 'IMU_yaw': 0.28, 'IMU_Acc_x': -0.99, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 10.21, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11854, 'Left_wheel_dist': -132, 'Right_wheel_dist': -126, 'IMU_roll': 0.03, 'IMU_pitch': -0.02, 'IMU_yaw': 0.28, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.27, 'IMU_Acc_z': 9.91, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11956, 'Left_wheel_dist': -188, 'Right_wheel_dist': -170, 'IMU_roll': 0.03, 'IMU_pitch': -0.01, 'IMU_yaw': 0.27, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.60, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12047, 'Left_wheel_dist': -234, 'Right_wheel_dist': -214, 'IMU_roll': 0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 0.26, 'IMU_Acc_x': 0.56, 'IMU_Acc_y': 0.37, 'IMU_Acc_z': 9.98, 'Loop_dt': 19, 'Acc_Accu': 7}
{'Time': 12156, 'Left_wheel_dist': -296, 'Right_wheel_dist': -270, 'IMU_roll': 0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 0.26, 'IMU_Acc_x': 0.59, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.90, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 12249, 'Left_wheel_dist': -343, 'Right_wheel_dist': -314, 'IMU_roll': 0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 0.26, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.50, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 12350, 'Left_wheel_dist': -398, 'Right_wheel_dist': -363, 'IMU_roll': 0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 0.25, 'IMU_Acc_x': 0.55, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 10.41, 'Loop_dt': 21, 'Acc_Accu': 8}
{'Time': 12451, 'Left_wheel_dist': -449, 'Right_wheel_dist': -413, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.25, 'IMU_Acc_x': 0.57, 'IMU_Acc_y': 0.22, 'IMU_Acc_z': 9.94, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12553, 'Left_wheel_dist': -504, 'Right_wheel_dist': -467, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 0.23, 'IMU_Acc_x': 0.91, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 10.58, 'Loop_dt': 21, 'Acc_Accu': 8}
{'Time': 12654, 'Left_wheel_dist': -553, 'Right_wheel_dist': -515, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 0.22, 'IMU_Acc_x': 0.47, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.88, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12754, 'Left_wheel_dist': -606, 'Right_wheel_dist': -562, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 0.22, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': 0.33, 'IMU_Acc_z': 9.77, 'Loop_dt': 19, 'Acc_Accu': 8}
