Wed Feb 10 13:41:39 2021
Program 14: 2s geradeaus bei 0.5m/s, 1s Drehung nach links bei 0/1 m/s, 4 Wiederholungen
{'Time': 11554, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.36, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.89, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 11654, 'Left_wheel_dist': -24, 'Right_wheel_dist': -28, 'IMU_roll': 0.03, 'IMU_pitch': -0.02, 'IMU_yaw': 0.36, 'IMU_Acc_x': -3.11, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 10.08, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11754, 'Left_wheel_dist': -73, 'Right_wheel_dist': -79, 'IMU_roll': 0.04, 'IMU_pitch': -0.04, 'IMU_yaw': 0.36, 'IMU_Acc_x': -1.17, 'IMU_Acc_y': 0.91, 'IMU_Acc_z': 10.72, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11855, 'Left_wheel_dist': -123, 'Right_wheel_dist': -137, 'IMU_roll': 0.03, 'IMU_pitch': -0.02, 'IMU_yaw': 0.36, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.86, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11956, 'Left_wheel_dist': -177, 'Right_wheel_dist': -197, 'IMU_roll': 0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 0.36, 'IMU_Acc_x': 0.48, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 10.12, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12057, 'Left_wheel_dist': -230, 'Right_wheel_dist': -259, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 0.36, 'IMU_Acc_x': 0.71, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.85, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12156, 'Left_wheel_dist': -287, 'Right_wheel_dist': -314, 'IMU_roll': 0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 0.37, 'IMU_Acc_x': 0.64, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 10.26, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12257, 'Left_wheel_dist': -336, 'Right_wheel_dist': -367, 'IMU_roll': 0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 0.35, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.31, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12358, 'Left_wheel_dist': -391, 'Right_wheel_dist': -427, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.35, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.25, 'IMU_Acc_z': 10.20, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12459, 'Left_wheel_dist': -440, 'Right_wheel_dist': -480, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 0.35, 'IMU_Acc_x': 0.55, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.00, 'Loop_dt': 20, 'Acc_Accu': 8}
