Wed Feb 10 13:39:17 2021
Program 13: 2s geradeaus bei 0.5m/s, 1s Drehung nach rechts bei 0/1 m/s, 4 Wiederholungen
{'Time': 11560, 'Left_wheel_dist': 0, 'Right_wheel_dist': -8, 'IMU_roll': 0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 5.86, 'IMU_Acc_x': 0.67, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 10}
{'Time': 11660, 'Left_wheel_dist': -24, 'Right_wheel_dist': -30, 'IMU_roll': 0.02, 'IMU_pitch': -0.00, 'IMU_yaw': 5.86, 'IMU_Acc_x': -2.91, 'IMU_Acc_y': -0.64, 'IMU_Acc_z': 10.08, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11761, 'Left_wheel_dist': -75, 'Right_wheel_dist': -68, 'IMU_roll': 0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 5.84, 'IMU_Acc_x': -0.55, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 10.02, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11862, 'Left_wheel_dist': -121, 'Right_wheel_dist': -115, 'IMU_roll': 0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 5.84, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': 0.31, 'IMU_Acc_z': 9.74, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11961, 'Left_wheel_dist': -177, 'Right_wheel_dist': -163, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.83, 'IMU_Acc_x': 0.56, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.61, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12062, 'Left_wheel_dist': -225, 'Right_wheel_dist': -208, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 5.81, 'IMU_Acc_x': 0.92, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.54, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12163, 'Left_wheel_dist': -278, 'Right_wheel_dist': -254, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 5.81, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 10.04, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12262, 'Left_wheel_dist': -325, 'Right_wheel_dist': -301, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 5.80, 'IMU_Acc_x': 0.60, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12361, 'Left_wheel_dist': -376, 'Right_wheel_dist': -349, 'IMU_roll': 0.02, 'IMU_pitch': 0.06, 'IMU_yaw': 5.81, 'IMU_Acc_x': 0.77, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.83, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12461, 'Left_wheel_dist': -425, 'Right_wheel_dist': -396, 'IMU_roll': 0.02, 'IMU_pitch': 0.06, 'IMU_yaw': 5.81, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.87, 'Loop_dt': 20, 'Acc_Accu': 8}
