Wed Feb 10 13:33:56 2021
Program 9: 1s Stillstand, Rampe von 0-1 m/s innerhalb 2s, Stillstand
{'Time': 11557, 'Left_wheel_dist': -236, 'Right_wheel_dist': -168, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 6.00, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 10.00, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11657, 'Left_wheel_dist': -283, 'Right_wheel_dist': -216, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 6.00, 'IMU_Acc_x': 0.17, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.70, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11756, 'Left_wheel_dist': -338, 'Right_wheel_dist': -270, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 5.99, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.73, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11856, 'Left_wheel_dist': -394, 'Right_wheel_dist': -323, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 5.95, 'IMU_Acc_x': 0.14, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 10.42, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11956, 'Left_wheel_dist': -456, 'Right_wheel_dist': -380, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 5.94, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 10.09, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12056, 'Left_wheel_dist': -520, 'Right_wheel_dist': -449, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 5.91, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 10.03, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12156, 'Left_wheel_dist': -588, 'Right_wheel_dist': -515, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 5.89, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12255, 'Left_wheel_dist': -666, 'Right_wheel_dist': -588, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 5.89, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 10.03, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12354, 'Left_wheel_dist': -741, 'Right_wheel_dist': -670, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 5.88, 'IMU_Acc_x': 0.11, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 10.02, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12453, 'Left_wheel_dist': -821, 'Right_wheel_dist': -748, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 5.86, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.99, 'Loop_dt': 19, 'Acc_Accu': 8}
