Mon Aug 10 15:47:28 2020
Joystick Mode (60s)
{'Time': 11548, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 5.26, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 11639, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 5.27, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 11747, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 5.26, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.78, 'Loop_dt': 24, 'Acc_Accu': 7}
{'Time': 11849, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 5.27, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.79, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11952, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 5.26, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.79, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12051, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 5.26, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.79, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12151, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 5.27, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.80, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12253, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 5.27, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.79, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12355, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 5.26, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.79, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12444, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 5.27, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.79, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 12547, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 5.27, 'IMU_Acc_x': 0.08, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.77, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 12648, 'Left_wheel_dist': 2, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 5.27, 'IMU_Acc_x': 0.13, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.81, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12750, 'Left_wheel_dist': 8, 'Right_wheel_dist': 0, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 5.27, 'IMU_Acc_x': 0.13, 'IMU_Acc_y': 0.34, 'IMU_Acc_z': 9.70, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12853, 'Left_wheel_dist': 24, 'Right_wheel_dist': 0, 'IMU_roll': 0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 5.30, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': 1.05, 'IMU_Acc_z': 10.12, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12956, 'Left_wheel_dist': 42, 'Right_wheel_dist': -4, 'IMU_roll': 0.03, 'IMU_pitch': 0.00, 'IMU_yaw': 5.34, 'IMU_Acc_x': -0.46, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.74, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13046, 'Left_wheel_dist': 57, 'Right_wheel_dist': -13, 'IMU_roll': 0.04, 'IMU_pitch': -0.00, 'IMU_yaw': 5.37, 'IMU_Acc_x': -0.09, 'IMU_Acc_y': 0.42, 'IMU_Acc_z': 9.71, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 13150, 'Left_wheel_dist': 77, 'Right_wheel_dist': -22, 'IMU_roll': 0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 5.42, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.79, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13253, 'Left_wheel_dist': 95, 'Right_wheel_dist': -28, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 5.47, 'IMU_Acc_x': -0.09, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.73, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13343, 'Left_wheel_dist': 110, 'Right_wheel_dist': -37, 'IMU_roll': 0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 5.50, 'IMU_Acc_x': -0.09, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 13446, 'Left_wheel_dist': 126, 'Right_wheel_dist': -48, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 5.55, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.79, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13549, 'Left_wheel_dist': 135, 'Right_wheel_dist': -53, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 5.59, 'IMU_Acc_x': 0.08, 'IMU_Acc_y': -0.75, 'IMU_Acc_z': 9.81, 'Loop_dt': 23, 'Acc_Accu': 6}
