Mon Aug 10 17:43:06 2020
Joystick Mode (120s)
{'Time': 9640, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 1.86, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 1134}
{'Time': 9742, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 1.86, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 9844, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 1.86, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 9935, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': -0.00, 'IMU_yaw': 1.87, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 10038, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 1.87, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.78, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10140, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 1.87, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10243, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 1.87, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.78, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 10344, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 1.87, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.79, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10435, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 1.87, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 10537, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 1.88, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 10639, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 1.88, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 7}
